,winner,loser,weight class,method,win_round,win time,winner age,loser age,winner_wins,winner loses,loser wins,loser loses,winner height,loser height,winner reach,loser reach,winner leg reach,loser leg reach,Event name,date
4360,Jason Day,Alan Belcher,Middleweight,TKO (punches),1,3:58,-14,-14,17,7,12,4,0,0,0,0,0,0,UFC 83,"April 19, 2008"
4361,Jason MacDonald,Joe Doerksen,Middleweight,TKO (elbows),2,0:56,-14,-14,19,9,39,11,0,0,0,0,0,0,UFC 83,"April 19, 2008"
4362,Demian Maia,Ed Herman,Middleweight,Technical Submission (mounted triangle choke),2,2:27,30,27,7,0,16,5,73.00,74.00,72.00,77.00,42.50,42.00,UFC 83,"April 19, 2008"
4363,Rich Clementi,Sam Stout,Lightweight,"Decision (split) (29–27, 28–29, 29–28)",3,5:00,-14,23,31,12,13,3,0,69.00,0,70.00,0,0,UFC 83,"April 19, 2008"
4364,Jonathan Goulet,Kuniyoshi Hironaka,Welterweight,TKO (punches),2,2:07,-14,-14,21,9,11,4,0,0,0,0,0,0,UFC 83,"April 19, 2008"
4365,Kenny Florian,Joe Lauzon,Lightweight,TKO (punches),2,3:28,-14,23,8,3,16,3,0,70.00,0,71.50,0,40.50,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4366,Gray Maynard,Frankie Edgar,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,28,26,4,0,9,0,69.00,66.00,70.00,68.00,39.00,37.50,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4367,Thiago Alves,Karo Parisyan,Welterweight,TKO (punches),2,0:34,24,-14,14,5,18,4,69.00,0,70.00,0,37.50,0,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4368,Matt Hamill,Tim Boetsch,Light Heavyweight,TKO (punches),2,1:25,31,27,4,1,7,1,73.00,72.00,0,74.00,0,42.00,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4369,Nate Diaz,Kurt Pellegrino,Lightweight,Submission (triangle choke),2,3:06,22,-14,8,2,12,3,73.00,0,76.00,0,38.00,0,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4370,James Irvin,Houston Alexander,Light Heavyweight,TKO (superman punch and punches),1,0:08,-14,-14,13,4,8,2,0,0,0,0,0,0,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4371,Josh Neer,Din Thomas,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-14,-14,23,6,23,7,0,0,0,0,0,0,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4372,Marcus Aurelio,Ryan Roberts,Lightweight,Submission (armbar),1,0:16,-14,-14,15,5,10,2,0,0,0,0,0,0,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4373,Clay Guida,Samy Schiavo,Lightweight,TKO (punches),1,4:15,26,-14,22,9,10,4,67.00,0,70.00,0,38.00,0,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4374,Anthony Johnson,Tom Speer,Welterweight,KO (punch),1,0:51,24,-14,4,1,11,2,74.00,0,78.00,0,44.00,0,UFC Fight Night: Florian vs. Lauzon,"April 2, 2008"
4375,Anderson Silva (UFC Champion),Dan Henderson (Pride Champion),Middleweight,Submission (rear-naked choke),2,4:52,-14,-14,22,4,22,6,0,0,0,0,0,0,UFC 82,"March 1, 2008"
4376,Heath Herring,Cheick Kongo,Heavyweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,-14,-14,27,13,11,3,0,0,0,0,0,0,UFC 82,"March 1, 2008"
4377,Chris Leben,Alessio Sakara,Middleweight,TKO (punches),1,3:16,27,26,17,5,13,6,71.00,72.00,74.00,72.00,0,0,UFC 82,"March 1, 2008"
4378,Yushin Okami,Evan Tanner,Middleweight,KO (knee),2,3:00,26,-14,22,4,32,6,74.00,0,75.00,0,41.50,0,UFC 82,"March 1, 2008"
4379,Jon Fitch,Chris Wilson,Welterweight,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00,-14,-14,18,2,15,4,0,0,0,0,0,0,UFC 82,"March 1, 2008"
4380,Andrei Arlovski,Jake O'Brien,Heavyweight,TKO (punches),2,4:17,29,-14,12,5,10,0,75.00,0,77.00,0,44.00,0,UFC 82,"March 1, 2008"
4381,Josh Koscheck,Dustin Hazelett,Welterweight,TKO (head kick and punches),2,1:24,30,-14,9,2,10,3,70.00,0,73.00,0,0,0,UFC 82,"March 1, 2008"
4382,Diego Sanchez,David Bielkheden,Welterweight,Submission (strikes),1,4:43,26,-14,17,2,12,5,70.00,0,72.50,0,40.00,0,UFC 82,"March 1, 2008"
4383,Luigi Fioravanti,Luke Cummo,Welterweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-14,-14,12,3,6,4,0,0,0,0,0,0,UFC 82,"March 1, 2008"
4384,Antônio Rodrigo Nogueira,Tim Sylvia,Heavyweight,Submission (guillotine choke),3,1:28,-14,-14,30,4,24,3,0,0,0,0,0,0,UFC 81,"February 2, 2008"
4385,Nate Marquardt,Jeremy Horn,Middleweight,Submission (guillotine choke),2,1:37,28,-14,25,7,80,16,72.00,0,74.00,0,42.00,0,UFC 81,"February 2, 2008"
4386,Tyson Griffin,Gleison Tibau,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-14,24,10,1,20,3,0,69.00,0,71.00,0,39.00,UFC 81,"February 2, 2008"
4387,Chris Lytle,Kyle Bradley,Welterweight,KO (punches),1,0:33,-14,-14,24,15,13,4,0,0,0,0,0,0,UFC 81,"February 2, 2008"
4388,Marvin Eastman,Terry Martin,Middleweight,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,-14,-14,14,7,16,4,0,0,0,0,0,0,UFC 81,"February 2, 2008"
4389,Tim Boetsch,David Heath,Light Heavyweight,TKO (slam and punches),1,4:52,27,-14,6,1,9,2,72.00,0,74.00,0,42.00,0,UFC 81,"February 2, 2008"
4390,Rob Emerson,Keita Nakamura,Lightweight,"Decision (split) (30–27, 28–29, 30–27)",3,5:00,-14,23,7,6,16,2,0,71.00,0,73.00,0,40.00,UFC 81,"February 2, 2008"
4391,Mike Swick,Josh Burkman,Welterweight,"Decision (majority) (29–28, 29–28, 29–29)",3,5:00,-14,-14,10,2,18,5,170.50,0,0,0,0,0,UFC Fight Night: Swick vs. Burkman,"January 23, 2008"
4392,Patrick Côté,Drew McFedries,Middleweight,TKO (punches),1,1:44,28,-14,11,4,6,2,71.00,0,71.00,0,41.00,0,UFC Fight Night: Swick vs. Burkman,"January 23, 2008"
4393,Thiago Tavares,Michihiro Omigawa,Lightweight,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00,23,-14,12,1,4,5,67.00,0,68.00,0,39.00,0,UFC Fight Night: Swick vs. Burkman,"January 23, 2008"
4394,Nate Diaz,Alvin Robinson,Lightweight,Submission (triangle choke),1,3:39,22,-14,7,2,9,2,73.00,0,76.00,0,38.00,0,UFC Fight Night: Swick vs. Burkman,"January 23, 2008"
4395,Kurt Pellegrino,Alberto Crane,Lightweight,TKO (punches),2,1:55,-14,-14,11,3,8,1,0,0,0,0,0,0,UFC Fight Night: Swick vs. Burkman,"January 23, 2008"
4396,Gray Maynard,Dennis Siver,Lightweight,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00,28,29,3,0,11,4,69.00,65.00,70.00,70.00,39.00,38.00,UFC Fight Night: Swick vs. Burkman,"January 23, 2008"
4397,Jeremy Stephens,Cole Miller,Lightweight,TKO (punches and elbows),2,4:44,21,23,14,2,13,2,68.50,73.00,71.00,74.00,38.50,41.00,UFC Fight Night: Swick vs. Burkman,"January 23, 2008"
4398,Matt Wiman,Justin Buchholz,Lightweight,Submission (rear-naked choke),1,2:56,24,-14,8,3,8,1,70.00,0,68.00,0,39.00,0,UFC Fight Night: Swick vs. Burkman,"January 23, 2008"
4399,B.J. Penn,Joe Stevenson,Lightweight,Submission (rear-naked choke),2,4:02,-14,-14,11,4,28,7,0,0,0,0,0,0,UFC 80,"January 19, 2008"
4400,Fabrício Werdum,Gabriel Gonzaga,Heavyweight,TKO (punches),2,4:34,30,28,9,3,8,2,76.00,74.00,77.00,76.00,45.00,42.00,UFC 80,"January 19, 2008"
4401,Wilson Gouveia,Jason Lambert,Light Heavyweight,KO (punch),2,0:37,-14,-14,9,4,23,6,0,0,0,0,0,0,UFC 80,"January 19, 2008"
4402,Jorge Rivera,Kendall Grove,Middleweight,TKO (punches),1,1:20,-14,-14,15,6,8,4,0,0,0,0,0,0,UFC 80,"January 19, 2008"
4403,Sam Stout,Per Eklund,Lightweight,"Decision (unanimous) (29–27, 30–27, 30–27)",3,5:00,23,-14,12,3,13,2,69.00,0,70.00,0,0,0,UFC 80,"January 19, 2008"
4404,Paul Kelly,Paul Taylor,Welterweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-14,-14,7,0,8,2,0,0,0,0,0,0,UFC 80,"January 19, 2008"
4405,Georges St-Pierre,Matt Hughes,Welterweight,Verbal Submission (armbar),2,4:54,25,-15,14,2,42,5,70.50,0,76.00,0,42.00,0,UFC 79,"December 29, 2007"
4406,Eddie Sanchez,Soa Palelei,Heavyweight,TKO (punches),3,3:24,-15,29,7,1,8,1,0,76.00,0,81.00,0,0,UFC 79,"December 29, 2007"
4407,Lyoto Machida,Rameau Thierry Sokoudjou,Light Heavyweight,Submission (arm-triangle choke),2,4:20,28,-15,11,0,4,1,73.00,0,74.00,0,42.00,0,UFC 79,"December 29, 2007"
4408,Rich Clementi,Melvin Guillard,Lightweight,Submission (rear-naked choke),1,4:40,-15,-15,30,12,21,6,0,156.00,0,68.00,0,0,UFC 79,"December 29, 2007"
4409,James Irvin,Luiz Cane,Light Heavyweight,Disqualification (illegal knee),1,1:51,-15,-15,12,4,8,0,0,0,0,0,0,0,UFC 79,"December 29, 2007"
4410,Manvel Gamburyan,Nate Mohr,Lightweight,Submission (ankle lock),1,1:31,-15,-15,6,2,8,4,0,0,0,0,0,0,UFC 79,"December 29, 2007"
4411,Dean Lister,Jordan Radev,Middleweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-15,-15,9,5,11,2,0,0,0,0,0,0,UFC 79,"December 29, 2007"
4412,Roan Carneiro,Tony DeSouza,Welterweight,TKO (punches),2,3:33,28,-15,11,6,10,3,69.00,0,74.00,0,42.00,0,UFC 79,"December 29, 2007"
4413,Mark Bocek,Doug Evans,Lightweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,25,-15,4,1,6,2,68.00,0,75.00,0,0,0,UFC 79,"December 29, 2007"
4414,Rashad Evans,Michael Bisping,Light Heavyweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,27,28,10,0,14,0,72.00,73.00,75.00,75.50,42.00,44.50,UFC 78,"November 17, 2007"
4415,Thiago Silva,Houston Alexander,Light Heavyweight,TKO (punches),1,3:25,27,-15,11,0,8,1,205.00,0,0,0,0,0,UFC 78,"November 17, 2007"
4416,Karo Parisyan,Ryo Chonan,Welterweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-15,-15,17,4,14,7,0,0,0,0,0,0,UFC 78,"November 17, 2007"
4417,Ed Herman,Joe Doerksen,Middleweight,KO (punch),3,0:39,26,-15,15,5,39,10,74.00,0,77.00,0,42.00,0,UFC 78,"November 17, 2007"
4418,Frankie Edgar,Spencer Fisher,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00,25,-15,8,0,20,3,66.00,0,68.00,0,37.50,0,UFC 78,"November 17, 2007"
4419,Thiago Alves,Chris Lytle,Welterweight,TKO (doctor stoppage),2,5:00,23,-15,13,5,24,14,69.00,0,70.00,0,37.50,0,UFC 78,"November 17, 2007"
4420,Joe Lauzon,Jason Reinhardt,Lightweight,Submission (rear-naked choke),1,1:14,22,-15,15,3,18,0,70.00,0,71.50,0,40.50,0,UFC 78,"November 17, 2007"
4421,Marcus Aurélio,Luke Caudillo,Lightweight,TKO (punches),1,4:29,-15,-15,14,5,15,10,0,0,0,0,0,0,UFC 78,"November 17, 2007"
4422,Akihiro Gono,Tamdan McCrory,Welterweight,Submission (armbar),2,3:19,-15,20,28,12,9,0,0,76.00,0,78.00,0,0,UFC 78,"November 17, 2007"
4423,Anderson Silva (c),Rich Franklin,Middleweight,TKO (knees),2,1:07,-15,-15,21,4,24,2,0,0,0,0,0,0,UFC 77,"October 20, 2007"
4424,Alvin Robinson,Jorge Gurgel,Lightweight,"Decision (unanimous) (29–28, 29–27, 29–27)",3,5:00,-15,-15,8,2,11,2,0,0,0,0,0,0,UFC 77,"October 20, 2007"
4425,Stephan Bonnar,Eric Schafer,Light Heavyweight,TKO (punches),2,2:47,-15,-15,11,4,8,2,0,0,0,0,0,0,UFC 77,"October 20, 2007"
4426,Alan Belcher,Kalib Starnes,Middleweight,TKO (doctor stoppage),2,1:39,-15,-15,11,4,8,1,0,0,0,0,0,0,UFC 77,"October 20, 2007"
4427,Yushin Okami,Jason MacDonald,Middleweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,25,-15,21,4,19,8,74.00,0,75.00,0,41.50,0,UFC 77,"October 20, 2007"
4428,Demian Maia,Ryan Jensen,Middleweight,Submission (rear-naked choke),1,2:40,29,-15,6,0,11,2,73.00,0,72.00,0,42.50,0,UFC 77,"October 20, 2007"
4429,Josh Burkman,Forrest Petz,Welterweight,"Decision (split) (29–28, 29–28, 28–29)",3,5:00,-15,-15,17,5,16,4,0,0,0,0,0,0,UFC 77,"October 20, 2007"
4430,Matt Grice,Jason Black,Lightweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,-15,-15,9,1,23,3,0,0,0,0,0,0,UFC 77,"October 20, 2007"
4431,Forrest Griffin,Maurício Rua,Light Heavyweight,Submission (rear-naked choke),3,4:45,-15,25,14,4,16,2,0,73.00,0,76.00,0,40.50,UFC 76,"September 22, 2007"
4432,Jon Fitch,Diego Sanchez,Welterweight,"Decision (split) (30–27, 28–29, 29–28)",3,5:00,-15,25,17,2,17,1,0,70.00,0,72.50,0,40.00,UFC 76,"September 22, 2007"
4433,Lyoto Machida,Kazuhiro Nakamura,Light Heavyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,28,-15,10,0,11,6,73.00,0,74.00,0,42.00,0,UFC 76,"September 22, 2007"
4434,Tyson Griffin,Thiago Tavares,Lightweight,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00,-15,22,9,1,12,0,0,67.00,0,68.00,0,39.00,UFC 76,"September 22, 2007"
4435,Rich Clementi,Anthony Johnson,Catchweight (177 lbs),Submission (rear-naked choke),2,3:05,-15,23,28,12,4,0,0,74.00,0,78.00,0,44.00,UFC 76,"September 22, 2007"
4436,Matt Wiman,Michihiro Omigawa,Lightweight,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00,23,-15,7,3,4,4,70.00,0,68.00,0,39.00,0,UFC 76,"September 22, 2007"
4437,Kenny Florian,Din Thomas,Lightweight,Submission (rear-naked choke),1,4:31,-15,-15,7,3,23,6,0,0,0,0,0,0,UFC Fight Night: Thomas vs. Florian,"September 19, 2007"
4438,Chris Leben,Terry Martin,Middleweight,KO (punch),3,3:56,26,-15,16,5,16,3,71.00,0,74.00,0,0,0,UFC Fight Night: Thomas vs. Florian,"September 19, 2007"
4439,Nate Diaz,Junior Assuncao,Lightweight,Submission (guillotine choke),1,4:10,21,-15,6,2,5,2,73.00,0,76.00,0,38.00,0,UFC Fight Night: Thomas vs. Florian,"September 19, 2007"
4440,Nate Quarry,Pete Sell,Middleweight,KO (punch),3,0:44,-15,-15,8,2,7,3,0,0,0,0,0,0,UFC Fight Night: Thomas vs. Florian,"September 19, 2007"
4441,Dustin Hazelett,Jonathan Goulet,Welterweight,Submission (armbar),1,1:14,-15,-15,9,3,19,8,0,0,0,0,0,0,UFC Fight Night: Thomas vs. Florian,"September 19, 2007"
4442,Thiago Alves,Kuniyoshi Hironaka,Welterweight,TKO (punch and knee),2,4:04,23,-15,12,5,11,3,69.00,0,70.00,0,37.50,0,UFC Fight Night: Thomas vs. Florian,"September 19, 2007"
4443,Cole Miller,Leonard Garcia,Lightweight,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00,22,-15,12,2,10,2,73.00,0,74.00,0,41.00,0,UFC Fight Night: Thomas vs. Florian,"September 19, 2007"
4444,Quinton Jackson,Dan Henderson,Light Heavyweight,"Decision (unanimous) (48–47, 49–46, 49–46)",5,5:00,-15,36,27,6,22,5,0,71.00,0,74.00,0,39.00,UFC 75,"September 8, 2007"
4445,Michael Bisping,Matt Hamill,Light Heavyweight,"Decision (split) (29–28, 27–30, 29–28)",3,5:00,28,30,13,0,4,0,73.00,73.00,75.50,0,44.50,0,UFC 75,"September 8, 2007"
4446,Cheick Kongo,Mirko Cro Cop,Heavyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,-15,30,10,3,22,5,0,232.00,0,73.00,0,0,UFC 75,"September 8, 2007"
4447,Houston Alexander,Alessio Sakara,Light Heavyweight,KO (knee and punches),1,1:01,-15,25,7,1,12,5,0,72.00,0,72.00,0,0,UFC 75,"September 8, 2007"
4448,Gleison Tibau,Terry Etim,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,23,-15,19,3,10,0,69.00,0,71.00,0,39.00,0,UFC 75,"September 8, 2007"
4449,Thiago Silva,Tomasz Drwal,Light Heavyweight,TKO (punches),2,4:23,23,-15,10,0,14,1,205.00,0,0,0,0,0,UFC 75,"September 8, 2007"
4450,Dennis Siver,Naoyuki Kotani,Lightweight,KO (punch),2,2:04,28,-15,10,4,17,6,65.00,156.00,70.00,0,38.00,0,UFC 75,"September 8, 2007"
4451,Randy Couture (c),Gabriel Gonzaga,Heavyweight,TKO (punches),3,1:37,-15,27,15,8,8,1,0,74.00,0,76.00,0,42.00,UFC 74,"August 25, 2007"
4452,Georges St-Pierre,Josh Koscheck,Welterweight,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,25,29,13,2,9,1,70.50,70.00,76.00,73.00,42.00,0,UFC 74,"August 25, 2007"
4453,Roger Huerta,Alberto Crane,Lightweight,TKO (punches),3,1:50,-15,-15,18,1,8,0,0,0,0,0,0,0,UFC 74,"August 25, 2007"
4454,Joe Stevenson,Kurt Pellegrino,Lightweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,-15,-15,27,7,11,2,0,0,0,0,0,0,UFC 74,"August 25, 2007"
4455,Patrick Côté,Kendall Grove,Middleweight,KO (punches),1,4:45,27,-15,10,4,8,3,71.00,0,71.00,0,41.00,0,UFC 74,"August 25, 2007"
4456,Renato Sobral,David Heath,Light Heavyweight,Technical submission (anaconda choke),2,3:30,-15,-15,30,8,9,1,0,0,0,0,0,0,UFC 74,"August 25, 2007"
4457,Frank Mir,Antoni Hardonk,Heavyweight,Submission (kimura),1,1:17,27,-15,9,3,5,3,75.00,0,79.00,0,43.00,0,UFC 74,"August 25, 2007"
4458,Thales Leites,Ryan Jensen,Middleweight,Submission (armbar),1,3:47,25,-15,11,1,11,1,73.00,0,78.00,0,41.00,0,UFC 74,"August 25, 2007"
4459,Clay Guida,Marcus Aurélio,Lightweight,"Decision (split) (30–27, 28–29, 30–27)",3,5:00,25,-15,21,8,14,4,67.00,0,70.00,0,38.00,0,UFC 74,"August 25, 2007"
4460,Anderson Silva (c),Nate Marquardt,Middleweight,TKO (punches),1,4:50,-15,27,20,4,25,6,0,72.00,0,74.00,0,42.00,UFC 73,"July 7, 2007"
4461,Tito Ortiz,Rashad Evans,Light Heavyweight,"Draw (unanimous) (28–28, 28–28, 28–28)",3,5:00,-15,27,14,5,10,-1,0,72.00,0,75.00,0,42.00,UFC 73,"July 7, 2007"
4462,Sean Sherk (c),Hermes França,Lightweight,"Decision (unanimous) (50–45, 50–45, 49–46)",5,5:00,-15,-15,33,2,18,5,0,0,0,0,0,0,UFC 73,"July 7, 2007"
4463,Antônio Rodrigo Nogueira,Heath Herring,Heavyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,-15,-15,29,4,27,12,0,0,0,0,0,0,UFC 73,"July 7, 2007"
4464,Kenny Florian,Alvin Robinson,Lightweight,TKO (submission to punches),1,4:30,-15,-15,6,3,8,1,0,0,0,0,0,0,UFC 73,"July 7, 2007"
4465,Frankie Edgar,Mark Bocek,Lightweight,TKO (punches),1,4:55,25,25,7,0,4,0,66.00,68.00,68.00,75.00,37.50,0,UFC 73,"July 7, 2007"
4466,Spencer Fisher,Sam Stout,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-15,22,19,3,11,2,0,69.00,0,70.00,0,0,UFC Fight Night: Stout vs. Fisher,"June 12, 2007"
4467,Jon Fitch,Roan Carneiro,Welterweight,Submission (rear-naked choke),2,1:07,-15,28,16,2,11,5,0,69.00,0,74.00,0,42.00,UFC Fight Night: Stout vs. Fisher,"June 12, 2007"
4468,Drew McFedries,Jordan Radev,Middleweight,KO (punches),1,0:33,-15,-15,5,2,11,1,0,0,0,0,0,0,UFC Fight Night: Stout vs. Fisher,"June 12, 2007"
4469,Forrest Petz,Luigi Fioravanti,Welterweight,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00,-15,-15,15,4,11,2,0,0,0,0,0,0,UFC Fight Night: Stout vs. Fisher,"June 12, 2007"
4470,Tamdan McCrory,Pete Spratt,Welterweight,Submission (triangle choke),2,2:04,20,-15,8,0,15,11,76.00,0,78.00,0,0,0,UFC Fight Night: Stout vs. Fisher,"June 12, 2007"
4471,Nate Mohr,Luke Caudillo,Lightweight,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00,-15,-15,7,4,15,9,0,0,0,0,0,0,UFC Fight Night: Stout vs. Fisher,"June 12, 2007"
4472,Karo Parisyan,Josh Burkman,Welterweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,-15,-15,16,4,17,4,0,0,0,0,0,0,UFC 71,"May 26, 2007"
4473,Terry Martin,Ivan Salaverry,Middleweight,KO (slam and punches),1,2:04,-15,-15,15,3,13,5,0,0,0,0,0,0,UFC 71,"May 26, 2007"
4474,Houston Alexander,Keith Jardine,Light Heavyweight,KO (punches and knees),1,0:48,-15,-15,6,1,13,2,0,0,0,0,0,0,UFC 71,"May 26, 2007"
4475,Kalib Starnes,Chris Leben,Middleweight,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00,-15,26,7,1,16,4,0,71.00,0,74.00,0,0,UFC 71,"May 26, 2007"
4476,Thiago Silva,James Irvin,Light Heavyweight,Referee Stoppage (injury),1,1:06,-15,-15,9,0,12,3,205.00,0,0,0,0,0,UFC 71,"May 26, 2007"
4477,Alan Belcher,Sean Salmon,Light Heavyweight,Submission (guillotine choke),1,0:53,-15,-15,10,4,9,2,0,0,0,0,0,0,UFC 71,"May 26, 2007"
4478,Din Thomas,Jeremy Stephens,Lightweight,Technical Submission (armbar),2,2:44,-15,20,22,6,12,1,0,68.50,0,71.00,0,38.50,UFC 71,"May 26, 2007"
4479,Wilson Gouveia,Carmelo Marrero,Light Heavyweight,Submission (guillotine choke),1,3:06,-15,-15,8,4,6,1,0,0,0,0,0,0,UFC 71,"May 26, 2007"
4480,Matt Serra,Georges St-Pierre (c),Welterweight,TKO (punches),1,3:25,-15,-15,9,4,13,1,0,0,0,0,0,0,UFC 69,"April 7, 2007"
4481,Josh Koscheck,Diego Sanchez,Welterweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,29,25,8,1,17,0,70.00,70.00,73.00,72.50,0,40.00,UFC 69,"April 7, 2007"
4482,Roger Huerta,Leonard Garcia,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-15,-15,16,1,9,1,0,0,0,0,0,0,UFC 69,"April 7, 2007"
4483,Yushin Okami,Mike Swick,Middleweight,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,25,-15,20,3,10,1,74.00,170.50,75.00,0,41.50,0,UFC 69,"April 7, 2007"
4484,Kendall Grove,Alan Belcher,Middleweight,Technical Submission (D'arce choke),2,4:42,-15,-15,7,3,10,3,0,0,0,0,0,0,UFC 69,"April 7, 2007"
4485,Heath Herring,Brad Imes,Heavyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-15,-15,26,12,6,2,0,0,0,0,0,0,UFC 69,"April 7, 2007"
4486,Thales Leites,Pete Sell,Middleweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,25,-15,9,1,7,2,73.00,0,78.00,0,41.00,0,UFC 69,"April 7, 2007"
4487,Luke Cummo,Josh Haynes,Welterweight,TKO (punch),2,2:45,-15,-15,4,4,12,7,0,0,0,0,0,0,UFC 69,"April 7, 2007"
4488,Randy Couture,Tim Sylvia (c),Heavyweight,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00,-15,-15,14,8,23,2,0,0,0,0,0,0,UFC 68,"March 3, 2007"
4489,Martin Kampmann,Drew McFedries,Middleweight,Submission (arm-triangle choke),1,4:06,24,-15,11,1,5,1,72.00,0,0,0,0,0,UFC 68,"March 3, 2007"
4490,Rich Franklin,Jason MacDonald,Middleweight,TKO (corner stoppage),2,5:00,-15,-15,22,2,18,7,0,0,0,0,0,0,UFC 68,"March 3, 2007"
4491,Matt Hughes,Chris Lytle,Welterweight,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,-15,-15,41,5,22,13,0,0,0,0,0,0,UFC 68,"March 3, 2007"
4492,Jason Lambert,Renato Sobral,Light Heavyweight,KO (punch),2,3:36,-15,-15,22,6,30,7,0,0,0,0,0,0,UFC 68,"March 3, 2007"
4493,Jon Fitch,Luigi Fioravanti,Welterweight,Submission (rear-naked choke),2,3:05,-15,-15,15,2,11,1,0,0,0,0,0,0,UFC 68,"March 3, 2007"
4494,Gleison Tibau,Jason Dent,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,23,-15,16,3,14,7,69.00,0,71.00,0,39.00,0,UFC 68,"March 3, 2007"
4495,Anderson Silva (c),Travis Lutter,Middleweight,Submission (triangle choke with elbows)[10],2,2:11,-15,-15,19,4,9,3,0,0,0,0,0,0,UFC 67,"February 3, 2007"
4496,Mirko Cro Cop,Eddie Sanchez,Heavyweight,TKO (punches),1,4:33,-15,-15,21,4,6,0,232.00,0,73.00,0,0,0,UFC 67,"February 3, 2007"
4497,Quinton Jackson,Marvin Eastman,Light Heavyweight,KO (punches),2,3:49,-15,-15,25,6,13,6,0,0,0,0,0,0,UFC 67,"February 3, 2007"
4498,Patrick Côté,Scott Smith,Middleweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,27,-15,8,4,11,2,71.00,0,71.00,0,41.00,0,UFC 67,"February 3, 2007"
4499,Terry Martin,Jorge Rivera,Middleweight,KO (punches),1,0:14,-15,-15,14,3,15,5,0,0,0,0,0,0,UFC 67,"February 3, 2007"
4500,Frankie Edgar,Tyson Griffin,Lightweight,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,25,-15,6,0,8,0,66.00,0,68.00,0,37.50,0,UFC 67,"February 3, 2007"
4501,Lyoto Machida,Sam Hoger,Light Heavyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,28,-15,8,0,6,2,73.00,0,74.00,0,42.00,0,UFC 67,"February 3, 2007"
4502,Rashad Evans,Sean Salmon,Light Heavyweight,KO (head kick),2,1:06,27,-15,9,0,9,1,72.00,0,75.00,0,42.00,0,UFC Fight Night: Evans vs. Salmon,"January 25, 2007"
4503,Jake O'Brien,Heath Herring,Heavyweight,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,-15,-15,9,0,26,11,0,0,0,0,0,0,UFC Fight Night: Evans vs. Salmon,"January 25, 2007"
